Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
SP1,24/09/14,Eibar,Villarreal,1,1,D,1,0,H,7,15,3,4,14,17,2,10,4,4,0,0,3.4,3,2.3,3.1,3.1,2.35,2.75,3.3,2.4,3.25,3.1,2.3,3.62,3.18,2.33,3.1,3.1,2.4,,,,3.5,3.12,2.38,45,3.65,3.33,3.4,3.11,2.41,2.32,35,2.75,2.56,1.55,1.49,24,0.25,1.96,1.91,2.02,1.95
SP1,24/09/14,Granada,Levante,0,1,A,0,0,D,8,10,0,4,14,13,5,3,2,6,0,0,1.5,3.9,7,1.57,3.9,5.75,1.65,3.7,4.9,1.57,3.8,6,1.57,4.15,7.02,1.57,3.8,6,,,,1.57,4,7,45,1.65,1.53,4.51,4,7.6,6.58,42,2.15,2.06,1.87,1.76,28,-1,1.98,1.93,2.02,1.93
SP1,24/09/14,Malaga,Barcelona,0,0,D,0,0,D,6,10,2,0,15,13,2,8,2,2,0,0,9,5,1.33,8.25,4.75,1.36,9,5,1.3,8,5,1.36,9.43,5.45,1.37,9,4.5,1.36,,,,9,5.25,1.36,44,10.5,8.85,5.6,5.05,1.38,1.35,35,1.59,1.54,2.64,2.43,27,1.5,1.94,1.84,2.09,2.02
SP1,24/09/14,Sevilla,Sociedad,1,0,H,1,0,H,19,8,8,1,13,7,11,4,6,2,0,0,1.8,3.6,4.33,1.8,3.5,4.33,1.75,3.5,4.5,1.85,3.75,4,1.79,4,4.7,1.8,3.75,4.2,,,,1.8,3.8,4.6,45,1.86,1.78,4.1,3.74,4.9,4.4,42,1.78,1.71,2.21,2.1,24,-0.75,2.05,2,1.93,1.87
SP1,24/09/14,Vallecano,Ath Bilbao,2,1,H,1,1,D,15,8,5,3,18,17,1,2,2,2,0,0,3.1,3.4,2.25,3.1,3.2,2.3,2.9,3.3,2.3,,,,3.23,3.59,2.31,3.1,3.4,2.25,,,,3.2,3.4,2.38,45,3.4,3.11,3.59,3.37,2.41,2.29,43,1.92,1.85,2.04,1.95,24,0.25,1.92,1.88,2.02,1.99
SP1,25/09/14,Espanol,Getafe,2,0,H,0,0,D,10,6,4,2,16,17,6,4,1,2,0,0,1.67,3.6,5.5,1.72,3.6,4.75,1.75,3.5,4.5,1.7,3.6,5,1.72,3.77,5.7,1.73,3.5,5,,,,1.73,3.75,5.5,45,1.8,1.7,3.83,3.61,6,5.35,42,2.25,2.17,1.78,1.67,24,-0.75,1.96,1.91,2.01,1.95
SP1,25/09/14,Valencia,Cordoba,3,0,H,2,0,H,17,2,7,1,11,23,3,3,1,3,0,0,1.33,5,8.5,1.36,4.5,8.75,1.4,4.4,7.3,1.4,4.5,8,1.37,5.24,10.32,1.36,4.5,9,,,,1.33,5,11.5,44,1.41,1.35,5.7,4.95,11.5,9.31,41,1.82,1.77,2.15,2.03,27,-1.5,2.06,2.02,1.92,1.84
SP1,26/09/14,Elche,Celta,0,1,A,0,0,D,14,16,3,4,12,14,0,4,4,2,0,0,2.8,3.4,2.4,2.95,3.1,2.45,2.9,3.3,2.3,3,3.2,2.45,3.1,3.3,2.53,3,3.1,2.45,,,,3,3.3,2.55,47,3.2,3.02,3.4,3.24,2.54,2.44,43,2.46,2.32,1.65,1.6,26,0,2.18,2.13,1.8,1.74
SP1,27/09/14,Ath Bilbao,Eibar,0,0,D,0,0,D,13,10,1,2,13,22,6,2,5,6,0,0,1.53,3.75,7,1.57,3.6,6.5,1.55,3.9,5.6,1.53,4,7,1.58,4,7.25,1.6,3.6,6,,,,1.55,4,7.5,47,1.61,1.55,4.2,3.85,7.5,6.72,41,2.38,2.26,1.7,1.62,29,-1,2.04,1.98,1.92,1.88
SP1,27/09/14,Ath Madrid,Sevilla,4,0,H,2,0,H,11,4,6,1,14,16,5,3,4,3,0,0,1.67,4,4.75,1.75,3.5,4.75,1.75,3.5,4.5,1.66,3.75,5.5,1.75,3.75,5.48,1.75,3.4,5,,,,1.73,3.8,5.4,47,1.85,1.72,4,3.65,5.5,5.04,44,2.2,2.09,1.8,1.73,25,-0.75,2,1.94,1.96,1.92
SP1,27/09/14,Barcelona,Granada,6,0,H,3,0,H,19,9,12,1,11,11,8,1,1,3,0,0,1.13,8.5,17,1.14,7.5,16,1.12,8,16,1.12,8.5,19,1.14,10,23.75,1.14,7,21,,,,1.12,10,29,47,1.15,1.12,10.17,8.66,30,21.73,38,1.45,1.38,3.15,2.94,26,-2.5,2.18,2.07,1.83,1.79
