res,team,oteam,day,mon,yea,gs,ogs,sh,osho,st,ost,co,oco,fo,ofo,ye,oye,re,ore
2,39,5,13,11,2010,4,2,20,12,12,8,12,6,11,11,2,2,0,0
0,5,39,13,11,2010,2,4,12,20,8,12,6,12,11,11,2,2,0,0
1,42,6,13,11,2010,0,0,17,16,4,5,8,7,7,7,0,1,0,0
1,6,42,13,11,2010,0,0,16,17,5,4,7,8,7,7,1,0,0,0
2,43,41,13,11,2010,1,0,13,12,4,6,5,5,13,13,1,1,0,0
0,41,43,13,11,2010,0,1,12,13,6,4,5,5,13,13,1,1,0,0
0,45,7,13,11,2010,2,3,10,13,6,7,12,3,10,10,1,0,0,0
2,7,45,13,11,2010,3,2,13,10,7,6,3,12,10,10,0,1,0,0
0,12,37,14,11,2010,0,3,14,19,7,9,6,3,9,13,1,2,0,0
2,37,12,14,11,2010,3,0,19,14,9,7,3,6,13,9,2,1,0,0
0,16,1,14,11,2010,1,2,14,13,7,8,9,2,15,14,2,2,0,0
2,1,16,14,11,2010,2,1,13,14,8,7,2,9,14,15,2,2,0,0
0,1,39,20,11,2010,2,3,12,10,7,6,2,6,17,16,3,1,0,0
2,39,1,20,11,2010,3,2,10,12,6,7,6,2,16,17,1,3,0,0
2,4,12,20,11,2010,1,0,1,24,1,9,4,14,9,2,2,0,0,0
0,12,4,20,11,2010,0,1,24,1,9,1,14,4,2,9,0,2,0,0
2,6,45,20,11,2010,2,1,13,19,9,10,4,11,7,9,0,2,0,0
0,45,6,20,11,2010,1,2,19,13,10,9,11,4,9,7,2,0,0,0
2,7,26,20,11,2010,5,1,18,6,9,1,2,3,13,9,0,2,0,1
0,26,7,20,11,2010,1,5,6,18,1,9,3,2,9,13,2,0,1,0
2,22,42,20,11,2010,3,0,19,6,11,1,10,2,8,8,0,1,0,0
0,42,22,20,11,2010,0,3,6,19,1,11,2,10,8,8,1,0,0,0
2,24,43,20,11,2010,2,0,17,10,12,4,11,1,10,14,0,2,0,2
0,43,24,20,11,2010,0,2,10,17,4,12,1,11,14,10,2,0,2,0
0,41,36,20,11,2010,0,3,15,6,8,4,8,3,10,9,0,0,0,0
2,36,41,20,11,2010,3,0,6,15,4,8,3,8,9,10,0,0,0,0
2,5,2,21,11,2010,2,0,14,16,5,11,5,8,15,10,0,1,0,0
0,2,5,21,11,2010,0,2,16,14,11,5,8,5,10,15,1,0,0,0
0,17,23,21,11,2010,1,4,9,11,3,8,7,7,13,16,2,1,0,0
2,23,17,21,11,2010,4,1,11,9,8,3,7,7,16,13,1,2,0,0
1,37,16,22,11,2010,2,2,13,10,8,8,4,4,5,7,0,2,0,0
1,16,37,22,11,2010,2,2,10,13,8,8,4,4,7,5,2,0,0,0
0,2,1,27,11,2010,2,4,6,17,4,10,3,8,10,7,1,1,0,0
2,1,2,27,11,2010,4,2,17,6,10,4,8,3,7,10,1,1,0,0
1,7,6,27,11,2010,2,2,24,16,14,10,4,4,8,14,2,2,0,0
1,6,7,27,11,2010,2,2,16,24,10,14,4,4,14,8,2,2,0,0
0,16,41,27,11,2010,1,4,12,7,4,3,2,2,11,18,1,3,1,1
2,41,16,27,11,2010,4,1,7,12,3,4,2,2,18,11,3,1,1,1
1,17,4,27,11,2010,1,1,11,7,7,3,7,4,10,9,1,0,0,0
1,4,17,27,11,2010,1,1,7,11,3,7,4,7,9,10,0,1,0,0
2,24,5,27,11,2010,7,1,15,3,11,2,5,2,6,6,0,2,0,0
0,5,24,27,11,2010,1,7,3,15,2,11,2,5,6,6,2,0,0,0
1,36,23,27,11,2010,1,1,16,9,9,4,6,2,8,10,2,2,0,0
1,23,36,27,11,2010,1,1,9,16,4,9,2,6,10,8,2,2,0,0
2,42,43,27,11,2010,3,1,15,10,9,10,7,2,8,8,0,0,0,0
0,43,42,27,11,2010,1,3,10,15,10,9,2,7,8,8,0,0,0,0
2,45,37,27,11,2010,3,2,14,15,8,9,11,5,11,10,2,3,0,0
0,37,45,27,11,2010,2,3,15,14,9,8,5,11,10,11,3,2,0,0
1,26,12,28,11,2010,1,1,5,17,3,13,6,7,9,11,2,1,0,0
1,12,26,28,11,2010,1,1,17,5,13,3,7,6,11,9,1,2,0,0
2,39,22,28,11,2010,2,1,20,12,13,8,5,8,6,16,0,5,0,0
0,22,39,28,11,2010,1,2,12,20,8,13,8,5,16,6,5,0,0,0
2,1,17,04,12,2010,2,1,15,11,9,7,3,7,7,5,0,0,0,0
0,17,1,04,12,2010,1,2,11,15,7,9,7,3,5,7,0,0,0,0
1,4,39,04,12,2010,1,1,13,10,5,5,6,11,14,7,1,1,0,0
1,39,4,04,12,2010,1,1,10,13,5,5,11,6,7,14,1,1,0,0
2,5,45,04,12,2010,3,0,10,10,7,7,8,11,9,11,0,2,0,0
0,45,5,04,12,2010,0,3,10,10,7,7,11,8,11,9,2,0,0,0
1,12,16,04,12,2010,1,1,12,16,5,7,7,2,7,11,1,4,0,0
1,16,12,04,12,2010,1,1,16,12,7,5,2,7,11,7,4,1,0,0
2,23,7,04,12,2010,1,0,19,7,10,2,8,8,12,18,3,2,1,0
0,7,23,04,12,2010,0,1,7,19,2,10,8,8,18,12,2,3,0,1
1,43,36,04,12,2010,2,2,15,11,8,7,5,4,11,10,1,4,0,0
1,36,43,04,12,2010,2,2,11,15,7,8,4,5,10,11,4,1,0,0
2,37,42,05,12,2010,1,0,17,8,12,2,9,3,6,8,1,3,0,0
0,42,37,05,12,2010,0,1,8,17,2,12,3,9,8,6,3,1,0,0
2,41,26,05,12,2010,3,1,20,11,12,7,7,3,11,9,0,5,0,0
0,26,41,05,12,2010,1,3,11,20,7,12,3,7,9,11,5,0,0,0
2,22,2,06,12,2010,3,0,12,5,7,2,4,3,12,13,0,1,0,0
0,2,22,06,12,2010,0,3,5,12,2,7,3,4,13,12,1,0,0,0
2,2,41,11,12,2010,2,1,6,11,3,4,6,13,8,14,0,2,0,0
0,41,2,11,12,2010,1,2,11,6,4,3,13,6,14,8,2,0,0,0
1,16,43,11,12,2010,0,0,16,5,8,4,9,4,13,18,2,4,0,0
1,43,16,11,12,2010,0,0,5,16,4,8,4,9,18,13,4,2,0,0
1,17,37,11,12,2010,0,0,14,11,13,2,4,3,14,10,0,1,0,0
